ring_size,sign_ms,verify_ms,sig_bytes
2,4.502720,3.956850,386
4,10.739820,7.862090,580
8,24.873780,16.324220,968
16,52.758910,32.653200,1744
32,102.418080,64.177780,3296
64,200.497333,129.862967,6400
128,402.658300,249.146067,12608
256,821.193800,508.144200,25024
512,1617.177400,1011.806200,49856
1024,3261.110300,1996.317500,99520
