epoch,sign_ms,verify_ms
1,0.054220,0.175080
2,0.053000,0.158400
3,0.052100,0.158660
4,0.051880,0.158040
5,0.053100,0.160720
6,0.053800,0.161440
7,0.051960,0.159380
8,0.051920,0.158760
9,0.052960,0.160640
10,0.052240,0.159320
11,0.052760,0.161800
12,0.053980,0.159700
13,0.064540,0.195280
14,0.057080,0.180360
15,0.053700,0.162760
16,0.054120,0.165900
17,0.055980,0.178580
18,0.052620,0.160540
19,0.052240,0.160120
20,0.052580,0.160040
