ring_size,sign_ms,verify_ms,sig_bytes
2,0.026960,0.086520,100
4,0.053670,0.162290,164
8,0.103640,0.307440,292
16,0.211100,0.621310,548
32,0.419320,1.325880,1060
64,0.833020,2.383300,2084
128,1.632490,4.701720,4132
256,3.289020,9.486740,8228
512,6.804450,18.835290,16420
1024,13.140680,37.727710,32804
