bench_iters,sign_ms,verify_ms
100,0.039110,0.016320
200,0.040620,0.016955
300,0.039760,0.016567
400,0.039528,0.016495
500,0.039958,0.016802
600,0.039528,0.016460
700,0.039651,0.016429
800,0.039705,0.016385
900,0.039603,0.016382
1000,0.039900,0.016536
1100,0.040304,0.016405
1200,0.039978,0.016430
1300,0.039727,0.016487
1400,0.039789,0.016558
1500,0.039783,0.016414
1600,0.039482,0.016488
1700,0.039695,0.016514
1800,0.039509,0.016298
1900,0.039514,0.016417
2000,0.039829,0.016522
