epoch,sign_ms,verify_ms
1,10.869680,7.888400
2,11.021700,7.921060
3,10.870300,7.878460
4,10.806920,7.902940
5,10.885320,7.828700
6,10.879120,7.920680
7,10.862380,7.961540
8,10.846120,7.831300
9,10.813500,7.833260
10,10.901200,7.943120
11,10.865440,7.897840
12,10.808760,8.036440
13,10.809780,7.855320
14,10.851900,7.876760
15,10.796360,7.813740
16,10.898040,7.889740
17,10.791180,7.859540
18,10.896780,7.901600
19,10.815600,7.871340
20,10.790400,7.898580
